file,specialty,language_code,language,visit_type,speaker_accuracy,precision,recall,f1_score,medical_terms_count,wer,cer,bleu,cosine_similarity
cardiology_1_followup,cardiology,en-CA,English,followup,0.7777777777777778,1.0,0.8,0.888888888888889,10,0.26495726495726496,0.24069855732725892,0.6904543023901656,0.8756032308947881
cardiology_5_followup,cardiology,en-CA,English,followup,0.7692307692307693,1.0,0.5,0.6666666666666666,4,0.2638888888888889,0.25708502024291496,0.725199497591159,0.9342769786789742
cardiology_3_consultation,cardiology,en-CA,English,consultation,0.625,1.0,1.0,1.0,9,0.18685121107266436,0.17295980511571254,0.7776995018641378,0.9107621556571964
cardiology_5_consultation,cardiology,en-CA,English,consultation,0.5833333333333334,1.0,1.0,1.0,8,0.1466275659824047,0.1288471570161711,0.8259327197871829,0.9094625993185539
cardiology_4_consultation,cardiology,en-CA,English,consultation,0.6875,0.7777777777777778,0.875,0.823529411764706,8,0.16408668730650156,0.1449671772428884,0.8543755163704506,0.9481661257434676
cardiology_8_followup,cardiology,en-CA,English,followup,0.6923076923076923,1.0,1.0,1.0,8,0.2288135593220339,0.19545454545454546,0.7212585730009577,0.9219846225191317
cardiology_1_consultation,cardiology,en-CA,English,consultation,0.7647058823529411,1.0,1.0,1.0,11,0.17518248175182483,0.1476829796448679,0.787045631917066,0.9446789718916501
cardiology_8_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.6666666666666666,0.8,12,0.4396551724137931,0.4741891274554591,0.4825876008394085,0.8219360337047003
cardiology_9_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.4444444444444444,0.6153846153846153,9,0.5789473684210527,0.5721476510067114,0.2930705533162153,0.8074544012271382
cardiology_9_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.46153846153846156,0.631578947368421,13,0.5057471264367817,0.5090152565880721,0.35965314403952486,0.8217905139392944
cardiology_10_followup,cardiology,fr-CA,French,followup,0.14285714285714285,1.0,0.42857142857142855,0.6,7,0.4601226993865031,0.4186046511627907,0.4599691881722138,0.7836429308242853
cardiology_4_followup,cardiology,fr-CA,French,followup,0.09090909090909091,1.0,0.75,0.8571428571428571,8,0.24324324324324326,0.2131004366812227,0.721701123409198,0.9059891060893317
cardiology_7_followup,cardiology,fr-CA,French,followup,0.125,1.0,0.18181818181818182,0.3076923076923077,11,0.548951048951049,0.6102794411177644,0.2940361176609015,0.6417138046896839
cardiology_10_consultation,cardiology,fr-CA,French,consultation,0.875,1.0,0.75,0.8571428571428571,12,0.2594594594594595,0.27767527675276754,0.6864312829785042,0.8700084087206196
cardiology_3_followup,cardiology,fr-CA,French,followup,0.08333333333333333,1.0,0.8,0.888888888888889,10,0.48484848484848486,0.46690070210631895,0.4242719511051503,0.6913040268207701
cardiology_2_followup,cardiology,fr-CA,French,followup,0.1111111111111111,1.0,0.6666666666666666,0.8,9,0.4570446735395189,0.4586021505376344,0.46605202975309223,0.8464147613058473
cardiology_6_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.5,0.6666666666666666,12,0.46200607902735563,0.49787835926449786,0.419082761212111,0.8231630722712155
cardiology_7_consultation,cardiology,fr-CA,French,consultation,0.09090909090909091,1.0,0.5454545454545454,0.7058823529411764,11,0.44039735099337746,0.48563078421821726,0.47265657807980477,0.8489862193445045
cardiology_2_consultation,cardiology,fr-CA,French,consultation,0.0625,1.0,0.6363636363636364,0.7777777777777778,11,0.4225,0.43755004003202563,0.5104339370474776,0.881058085113086
cardiology_6_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.5882352941176471,0.7407407407407407,17,0.5,0.43106584212440885,0.5622130317385696,0.7026952317273544
cardiology_1_followup,cardiology,fr-CA,French,followup,0.1111111111111111,1.0,1.0,1.0,5,0.1836734693877551,0.1894273127753304,0.7908987282183383,0.9432634281385075
cardiology_5_followup,cardiology,fr-CA,French,followup,0.07142857142857142,1.0,0.38461538461538464,0.5555555555555556,13,0.5359281437125748,0.474145891043398,0.5110400121849631,0.7696072038634234
cardiology_3_consultation,cardiology,fr-CA,French,consultation,0.07142857142857142,0.7692307692307693,0.625,0.6896551724137931,16,0.37317073170731707,0.35208098987626546,0.6030499399941052,0.8647646442002698
cardiology_5_consultation,cardiology,fr-CA,French,consultation,0.9444444444444444,1.0,0.8181818181818182,0.9,11,0.34285714285714286,0.3611111111111111,0.6184130867414367,0.8932279288037404
cardiology_4_consultation,cardiology,fr-CA,French,consultation,0.9,1.0,1.0,1.0,12,0.1708542713567839,0.1753191489361702,0.7929011243477811,0.922825670156658
cardiology_8_followup,cardiology,fr-CA,French,followup,0.125,1.0,0.4444444444444444,0.6153846153846153,9,0.49185667752442996,0.5152905198776758,0.3813112677875867,0.811957987491505
cardiology_1_consultation,cardiology,fr-CA,French,consultation,0.9411764705882353,1.0,0.8,0.888888888888889,10,0.1870748299319728,0.11467116357504216,0.7687501764718144,0.9003273058170612
gp_8_consultation,gp,en-CA,English,consultation,0.45454545454545453,1.0,1.0,1.0,4,0.17763157894736842,0.14127764127764128,0.8007885478091666,0.9548437551629647
gp_9_followup,gp,en-CA,English,followup,0.9285714285714286,1.0,1.0,1.0,3,0.16612377850162866,0.14946168461051298,0.8076974687709457,0.9381902202582211
gp_9_consultation,gp,en-CA,English,consultation,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.15789473684210525,0.14027777777777778,0.8105431761267339,0.9575245423317875
gp_10_followup,gp,en-CA,English,followup,0.6363636363636364,1.0,1.0,1.0,3,0.2757201646090535,0.27104247104247103,0.754100315484397,0.9349439159381726
gp_4_followup,gp,en-CA,English,followup,0.5,1.0,1.0,1.0,4,0.20063694267515925,0.19833795013850417,0.7838593191727568,0.9446755036377
gp_3_followup,gp,en-CA,English,followup,0.8333333333333334,1.0,0.75,0.8571428571428571,4,0.1103202846975089,0.08526107072042301,0.8834553801968916,0.9640160981049679
gp_7_followup,gp,en-CA,English,followup,0.6428571428571429,1.0,1.0,1.0,3,0.12167300380228137,0.11254480286738351,0.860115759186271,0.9683707669785553
gp_7_consultation,gp,en-CA,English,consultation,0.6666666666666666,0.6666666666666666,1.0,0.8,2,0.27835051546391754,0.23071937783538563,0.8170468688095055,0.9085372089622452
gp_6_followup,gp,en-CA,English,followup,0.7272727272727273,1.0,1.0,1.0,3,0.2706422018348624,0.28524590163934427,0.6792921665753237,0.9198911847031704
gp_2_consultation,gp,en-CA,English,consultation,0.3157894736842105,1.0,1.0,1.0,4,0.13529411764705881,0.11734164070612668,0.8465938514662853,0.962279148988482
gp_2_followup,gp,en-CA,English,followup,0.47058823529411764,1.0,0.6666666666666666,0.8,3,0.2,0.18634333120612637,0.764147743555458,0.942387875996217
gp_5_followup,gp,en-CA,English,followup,0.5384615384615384,1.0,0.6666666666666666,0.8,3,0.13636363636363635,0.1329479768786127,0.8603883334334914,0.9586266086455121
gp_6_consultation,gp,en-CA,English,consultation,0.9166666666666666,1.0,1.0,1.0,2,0.1694915254237288,0.16487730061349692,0.8092010392318956,0.9591638420014588
gp_1_followup,gp,en-CA,English,followup,0.2727272727272727,0.0,0.0,0.0,2,0.32286995515695066,0.31157528285465624,0.6619347056180042,0.8495877520876854
gp_3_consultation,gp,en-CA,English,consultation,0.5625,1.0,1.0,1.0,3,0.16809116809116809,0.1673130193905817,0.8239964189186545,0.9692999261395899
gp_5_consultation,gp,en-CA,English,consultation,0.6363636363636364,1.0,1.0,1.0,6,0.277992277992278,0.22994269340974213,0.7929081542488945,0.9420455727674643
gp_10_consultation,gp,en-CA,English,consultation,0.7142857142857143,1.0,0.6666666666666666,0.8,3,0.22088353413654618,0.19596110695587135,0.7773142133540236,0.9111738562847819
gp_8_followup,gp,en-CA,English,followup,0.9333333333333333,1.0,0.75,0.8571428571428571,4,0.3531468531468531,0.2437137330754352,0.6793124461573081,0.8815227230525462
gp_4_consultation,gp,en-CA,English,consultation,0.9411764705882353,1.0,0.8333333333333334,0.9090909090909091,6,0.23846153846153847,0.23778501628664495,0.7778570944051397,0.9628922032682403
gp_1_consultation,gp,en-CA,English,consultation,0.8235294117647058,1.0,1.0,1.0,4,0.18258426966292135,0.17883995703544575,0.7853445168828866,0.9400452095002759
gp_8_consultation,gp,fr-CA,French,consultation,0.9230769230769231,1.0,0.8181818181818182,0.9,11,0.4008097165991903,0.37923802866130724,0.5576880942571705,0.8867105752249231
gp_9_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,5,0.41721854304635764,0.4022099447513812,0.4835321035183171,0.8154477205393785
gp_9_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.6666666666666666,0.8,3,0.19672131147540983,0.20365033621517772,0.7678524271259879,0.9130188353866376
gp_10_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,2,0.2484472049689441,0.2055084745762712,0.688538201763998,0.8567866544244427
gp_4_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.40268456375838924,0.3462414578587699,0.5200261585185828,0.7922559766903852
gp_3_followup,gp,fr-CA,French,followup,1.0,1.0,0.6,0.7499999999999999,5,0.39104477611940297,0.4101642710472279,0.5202085525659444,0.8472500273932341
gp_7_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.23015873015873015,0.23776223776223776,0.7236542160091035,0.9116408075996544
gp_7_consultation,gp,fr-CA,French,consultation,1.0,1.0,1.0,1.0,7,0.2149122807017544,0.22752150117279124,0.7494516341617496,0.9408338824995327
gp_6_followup,gp,fr-CA,French,followup,1.0,1.0,0.4,0.5714285714285715,5,0.4020618556701031,0.42529989094874593,0.5057915704552906,0.8177194660911566
gp_2_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.5384615384615384,0.7000000000000001,13,0.42431761786600497,0.44607244607244606,0.5753156594890897,0.8972984431944723
gp_2_followup,gp,fr-CA,French,followup,1.0,1.0,0.25,0.4,8,0.41379310344827586,0.44681839294008363,0.49965910556559767,0.8324202919082943
gp_5_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,3,0.2894736842105263,0.2508551881413911,0.6691636155285768,0.8446985348286391
gp_6_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.75,0.8571428571428571,4,0.38181818181818183,0.39013840830449825,0.5688897662730092,0.8644138774588089
gp_1_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.2392638036809816,0.245850622406639,0.7153424006046709,0.9228342781107228
gp_3_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.42857142857142855,0.6,7,0.4119106699751861,0.34240267894516535,0.6266510049243353,0.8857193925798124
gp_5_consultation,gp,fr-CA,French,consultation,1.0,1.0,1.0,1.0,6,0.24686192468619247,0.25845229151014276,0.7067679135485265,0.9373704956583887
gp_10_consultation,gp,fr-CA,French,consultation,1.0,1.0,1.0,1.0,4,0.22727272727272727,0.23114653586756592,0.7229430905916071,0.9337725361041718
gp_8_followup,gp,fr-CA,French,followup,1.0,1.0,0.625,0.7692307692307693,8,0.5244215938303342,0.5308855291576674,0.32939795815563827,0.7813550007771587
gp_4_consultation,gp,fr-CA,French,consultation,0.9090909090909091,1.0,1.0,1.0,2,0.22916666666666666,0.1786038077969175,0.7618252167060116,0.8888352952008693
gp_1_consultation,gp,fr-CA,French,consultation,0.4,1.0,0.3333333333333333,0.5,3,0.2895927601809955,0.21698841698841698,0.6777934586525719,0.8593647179810375
