file,specialty,language_code,language,visit_type,speaker_accuracy,original_turn_count,transcript_turn_count,original_doctor_terms,original_patient_terms,transcript_doctor_terms,transcript_patient_terms,precision,recall,f1_score,medical_terms_count,exact_matches,near_matches,wer,cer,bleu,cosine_similarity,model
cardiology_4_consultation,cardiology,en-CA,English,consultation,0.6875,16,13,6,1,8,1,1.0,1.0,1.0,20,20,0,0.1238390092879257,0.11597374179431072,0.8506840705056845,0.9598884173765121,transkriptor
cardiology_8_followup,cardiology,en-CA,English,followup,0.5384615384615384,13,11,10,1,7,1,0.9230769230769231,1.0,0.9600000000000001,12,12,0,0.23728813559322035,0.19924242424242425,0.7026274665741481,0.9162023656892617,transkriptor
cardiology_1_consultation,cardiology,en-CA,English,consultation,0.6470588235294118,17,12,15,3,13,3,1.0,1.0,1.0,33,33,0,0.1897810218978102,0.1476829796448679,0.7624639093319326,0.9369532811606411,transkriptor
cardiology_8_consultation,cardiology,fr-CA,French,consultation,0.9166666666666666,12,11,2,18,2,5,1.0,0.6875,0.8148148148148148,16,11,0,0.4482758620689655,0.4892645043398812,0.4652442778299665,0.8189777804305156,transkriptor
cardiology_9_followup,cardiology,fr-CA,French,followup,0.875,8,7,3,14,3,1,1.0,0.4166666666666667,0.5882352941176471,12,5,0,0.5649122807017544,0.575503355704698,0.27278389829644883,0.8081244331374166,transkriptor
cardiology_9_consultation,cardiology,fr-CA,French,consultation,0.9166666666666666,12,11,4,13,3,2,1.0,0.4666666666666667,0.6363636363636364,15,7,0,0.514367816091954,0.511326860841424,0.3478259823107088,0.8203632623391726,transkriptor
cardiology_10_followup,cardiology,fr-CA,French,followup,0.75,8,6,6,1,2,1,1.0,0.42857142857142855,0.6,7,3,0,0.5460122699386503,0.5539112050739958,0.2779752457948129,0.7756612602957682,transkriptor
cardiology_4_followup,cardiology,fr-CA,French,followup,0.8333333333333334,12,10,6,3,5,2,1.0,0.8333333333333334,0.9090909090909091,12,10,0,0.2594594594594595,0.24890829694323144,0.698737170396175,0.8981882772173175,transkriptor
cardiology_7_followup,cardiology,fr-CA,French,followup,0.7272727272727273,8,11,3,15,2,0,1.0,0.23529411764705882,0.38095238095238093,17,4,0,0.5804195804195804,0.6387225548902196,0.2613399795054947,0.6204359717300402,transkriptor
cardiology_10_consultation,cardiology,fr-CA,French,consultation,0.8,10,8,8,2,6,2,1.0,0.6666666666666666,0.8,12,8,0,0.24324324324324326,0.2518450184501845,0.6974786000305653,0.8752550953925117,transkriptor
cardiology_3_followup,cardiology,fr-CA,French,followup,0.9166666666666666,12,11,2,18,2,3,1.0,0.6666666666666666,0.8,12,8,0,0.48148148148148145,0.4573721163490471,0.4212019445156068,0.6786676250501652,transkriptor
cardiology_2_followup,cardiology,fr-CA,French,followup,0.9166666666666666,12,11,8,15,7,1,1.0,0.6428571428571429,0.782608695652174,14,9,0,0.46048109965635736,0.4591397849462366,0.4295004403133063,0.8268229183193463,transkriptor
cardiology_6_followup,cardiology,fr-CA,French,followup,0.75,12,9,5,15,6,1,1.0,0.4,0.5714285714285715,15,6,0,0.49240121580547114,0.5214521452145214,0.37184201960640517,0.8161153964292958,transkriptor
cardiology_7_consultation,cardiology,fr-CA,French,consultation,0.29411764705882354,12,17,1,18,2,1,1.0,0.4666666666666667,0.6363636363636364,15,7,0,0.4768211920529801,0.521675596687774,0.40489755180352177,0.7878750587827583,transkriptor
cardiology_2_consultation,cardiology,fr-CA,French,consultation,0.9375,16,15,5,16,4,2,1.0,0.6,0.7499999999999999,15,9,0,0.4425,0.44835868694955966,0.4463923317425851,0.8644008836254395,transkriptor
cardiology_6_consultation,cardiology,fr-CA,French,consultation,0.9375,16,15,9,20,8,2,1.0,0.68,0.8095238095238095,25,17,0,0.3933649289099526,0.4139687158966897,0.5159651753784356,0.8789842580322303,transkriptor
cardiology_1_followup,cardiology,fr-CA,French,followup,0.6666666666666666,12,8,5,0,4,0,1.0,1.0,1.0,6,6,0,0.23979591836734693,0.2343612334801762,0.7172924241270014,0.886410538123856,transkriptor
cardiology_5_followup,cardiology,fr-CA,French,followup,0.9285714285714286,14,13,3,23,3,3,1.0,0.42105263157894735,0.5925925925925926,19,8,0,0.45209580838323354,0.47368421052631576,0.4517278915844851,0.8158003516058894,transkriptor
cardiology_3_consultation,cardiology,fr-CA,French,consultation,0.9285714285714286,14,13,10,10,9,1,0.9166666666666666,0.5789473684210527,0.7096774193548387,19,11,0,0.37073170731707317,0.38732658417697785,0.5570720308025846,0.8958576973437481,transkriptor
cardiology_5_consultation,cardiology,fr-CA,French,consultation,0.9444444444444444,18,17,8,23,8,3,1.0,0.8333333333333334,0.9090909090909091,18,15,0,0.33406593406593404,0.36779184247538677,0.5934828425329562,0.9144553371831085,transkriptor
cardiology_4_consultation,cardiology,fr-CA,French,consultation,0.8,10,8,8,2,7,2,1.0,1.0,1.0,16,16,0,0.25125628140703515,0.2425531914893617,0.7031822130515115,0.8922886785401712,transkriptor
cardiology_8_followup,cardiology,fr-CA,French,followup,0.875,8,7,2,12,2,2,1.0,0.4166666666666667,0.5882352941176471,12,5,0,0.495114006514658,0.527013251783894,0.37220174205166734,0.8142506943751571,transkriptor
cardiology_1_consultation,cardiology,fr-CA,French,consultation,0.8333333333333334,18,15,12,4,12,4,0.9285714285714286,0.8125,0.8666666666666666,16,13,0,0.19727891156462585,0.15120854412591345,0.748590663739151,0.9192050966324099,transkriptor
gp_8_consultation,gp,en-CA,English,consultation,0.4666666666666666,15,11,9,1,7,1,1.0,1.0,1.0,7,7,0,0.15789473684210525,0.13144963144963145,0.8044594246824526,0.9625316742670571,transkriptor
gp_9_followup,gp,en-CA,English,followup,0.7333333333333334,15,12,6,0,5,0,1.0,1.0,1.0,4,4,0,0.1563517915309446,0.14376187460417986,0.8076969276200696,0.9494430553998365,transkriptor
gp_9_consultation,gp,en-CA,English,consultation,0.6111111111111112,18,14,5,0,5,0,1.0,1.0,1.0,9,9,0,0.15538847117794485,0.14305555555555555,0.81693296384879,0.9610607156846093,transkriptor
gp_10_followup,gp,en-CA,English,followup,0.5625,16,12,3,0,1,0,1.0,0.6666666666666666,0.8,6,4,0,0.18930041152263374,0.21003861003861005,0.779500269460583,0.9441806097284009,transkriptor
gp_4_followup,gp,en-CA,English,followup,0.5789473684210525,19,15,5,2,3,2,1.0,0.6666666666666666,0.8,9,6,0,0.1464968152866242,0.15900277008310248,0.828450419674713,0.954838164014694,transkriptor
gp_3_followup,gp,en-CA,English,followup,0.75,12,9,7,0,5,0,1.0,0.8571428571428571,0.923076923076923,7,6,0,0.11743772241992882,0.10575016523463318,0.8704909843985721,0.9670833553219512,transkriptor
gp_7_followup,gp,en-CA,English,followup,0.6428571428571429,14,11,2,0,2,0,1.0,0.6666666666666666,0.8,6,4,0,0.12167300380228137,0.11326164874551971,0.860115759186271,0.9710727786713603,transkriptor
gp_7_consultation,gp,en-CA,English,consultation,0.6111111111111112,18,14,2,0,3,0,1.0,0.6,0.7499999999999999,5,3,0,0.14432989690721648,0.1406351263771873,0.8396376444672843,0.9574660663653439,transkriptor
gp_6_followup,gp,en-CA,English,followup,0.5384615384615384,13,10,4,0,2,1,1.0,0.8571428571428571,0.923076923076923,7,6,0,0.29357798165137616,0.289344262295082,0.6423419015638904,0.9096509496196264,transkriptor
gp_2_consultation,gp,en-CA,English,consultation,0.5789473684210527,19,16,8,2,7,2,1.0,1.0,1.0,8,8,0,0.13823529411764707,0.1391484942886812,0.8349674962792683,0.9693336608088085,transkriptor
gp_2_followup,gp,en-CA,English,followup,0.6470588235294117,17,13,6,0,4,0,1.0,0.8333333333333334,0.9090909090909091,6,5,0,0.19322033898305085,0.18123803446075304,0.7804278514222359,0.954388709690861,transkriptor
gp_5_followup,gp,en-CA,English,followup,0.5,14,10,3,3,3,3,1.0,0.75,0.8571428571428571,4,3,0,0.125,0.13222543352601157,0.8616788860474791,0.9651957539326618,transkriptor
gp_6_consultation,gp,en-CA,English,consultation,0.6875,16,11,3,0,2,0,1.0,1.0,1.0,4,4,0,0.17372881355932204,0.16794478527607362,0.792129543896599,0.9579148102698666,transkriptor
gp_1_followup,gp,en-CA,English,followup,0.8181818181818181,11,10,3,0,0,0,1.0,0.3333333333333333,0.5,3,1,0,0.30493273542600896,0.29416884247171454,0.6191872693357642,0.8608289808203458,transkriptor
gp_3_consultation,gp,en-CA,English,consultation,0.5294117647058824,17,14,4,0,3,0,1.0,1.0,1.0,7,7,0,0.1623931623931624,0.15457063711911356,0.8081187153882189,0.9531149073461421,transkriptor
gp_5_consultation,gp,en-CA,English,consultation,0.5625,16,13,3,0,2,0,1.0,0.8888888888888888,0.9411764705882353,9,8,0,0.19305019305019305,0.1826647564469914,0.7722303355478258,0.9338042247962283,transkriptor
gp_10_consultation,gp,en-CA,English,consultation,0.6000000000000001,15,12,2,0,1,0,1.0,0.8571428571428571,0.923076923076923,7,6,0,0.20883534136546184,0.18175018698578907,0.7525780004166076,0.8903528979716682,transkriptor
gp_8_followup,gp,en-CA,English,followup,0.6,15,10,3,0,3,0,1.0,0.8571428571428571,0.923076923076923,7,6,0,0.1888111888111888,0.18439716312056736,0.7676803050829333,0.9594169901890313,transkriptor
gp_4_consultation,gp,en-CA,English,consultation,0.8333333333333334,24,20,9,0,7,0,1.0,0.6363636363636364,0.7777777777777778,11,7,0,0.18974358974358974,0.18334108887854816,0.7779799620067145,0.9620927475838525,transkriptor
gp_1_consultation,gp,en-CA,English,consultation,0.5294117647058824,17,14,6,0,4,0,1.0,1.0,1.0,5,5,0,0.19101123595505617,0.18635875402792695,0.7607086577925292,0.9379946673939438,transkriptor
gp_8_consultation,gp,fr-CA,French,consultation,0.9375,16,15,7,15,7,3,1.0,0.8461538461538461,0.9166666666666666,13,11,0,0.41700404858299595,0.4260747990213212,0.4919174503831198,0.8883854541020437,transkriptor
gp_9_followup,gp,fr-CA,French,followup,0.42857142857142855,8,14,3,2,1,2,1.0,1.0,1.0,5,5,0,0.40397350993377484,0.4022099447513812,0.49822732197088576,0.8400235202123625,transkriptor
gp_9_consultation,gp,fr-CA,French,consultation,1.0,12,12,1,0,0,0,1.0,0.6666666666666666,0.8,3,2,0,0.2568306010928962,0.26993275696445723,0.6885306390847373,0.8903578280467199,transkriptor
gp_10_followup,gp,fr-CA,French,followup,0.75,8,6,1,0,1,0,1.0,1.0,1.0,3,3,0,0.22981366459627328,0.21822033898305085,0.7013209086249446,0.891263704229013,transkriptor
gp_4_followup,gp,fr-CA,French,followup,0.6153846153846154,8,13,2,0,1,0,0.5,0.25,0.3333333333333333,4,1,0,0.47651006711409394,0.43621867881548976,0.3856669066697574,0.7360990482174039,transkriptor
gp_3_followup,gp,fr-CA,French,followup,0.9,10,9,3,5,3,0,1.0,0.5,0.6666666666666666,6,3,0,0.39104477611940297,0.41170431211498976,0.5208417960419383,0.8509808319384977,transkriptor
gp_7_followup,gp,fr-CA,French,followup,0.75,8,6,2,1,0,1,1.0,0.25,0.4,4,1,0,0.25396825396825395,0.2727272727272727,0.6804594204752201,0.9044164871692768,transkriptor
gp_7_consultation,gp,fr-CA,French,consultation,0.6428571428571429,14,9,3,0,0,4,1.0,1.0,1.0,8,8,0,0.2675438596491228,0.27912431587177483,0.6763143558573916,0.9281181375971735,transkriptor
gp_6_followup,gp,fr-CA,French,followup,0.9285714285714286,14,13,4,7,4,0,1.0,0.3333333333333333,0.5,6,2,0,0.42955326460481097,0.4727371864776445,0.46502112829522496,0.8042334581777661,transkriptor
gp_2_consultation,gp,fr-CA,French,consultation,0.875,16,14,3,10,1,4,1.0,0.5,0.6666666666666666,14,7,0,0.3920595533498759,0.4228734228734229,0.5188900475804635,0.9103892566637335,transkriptor
gp_2_followup,gp,fr-CA,French,followup,0.9375,16,15,1,9,1,0,1.0,0.2222222222222222,0.3636363636363636,9,2,0,0.40229885057471265,0.4477473293079424,0.5032245076615193,0.8423931361544235,transkriptor
gp_5_followup,gp,fr-CA,French,followup,0.7142857142857143,10,14,1,1,1,1,1.0,1.0,1.0,4,4,0,0.3026315789473684,0.28506271379703535,0.6245866360307192,0.8618953883777434,transkriptor
gp_6_consultation,gp,fr-CA,French,consultation,0.8888888888888888,18,16,1,4,0,1,1.0,0.8,0.888888888888889,5,4,0,0.3974025974025974,0.4039792387543253,0.5083519223449655,0.8576020962975315,transkriptor
gp_1_followup,gp,fr-CA,French,followup,0.5,8,4,3,1,0,1,1.0,0.4,0.5714285714285715,5,2,0,0.31901840490797545,0.3381742738589212,0.5977283482403457,0.8444492975935612,transkriptor
gp_3_consultation,gp,fr-CA,French,consultation,0.7368421052631579,14,19,1,4,1,0,1.0,0.4444444444444444,0.6153846153846153,9,4,0,0.46153846153846156,0.4562578484721641,0.41309717809619156,0.8778609410406781,transkriptor
gp_5_consultation,gp,fr-CA,French,consultation,0.7142857142857143,14,10,4,0,5,0,1.0,1.0,1.0,7,7,0,0.3179916317991632,0.3245679939894816,0.6245712546760834,0.920827039329856,transkriptor
gp_10_consultation,gp,fr-CA,French,consultation,0.8571428571428571,14,12,2,1,3,2,1.0,1.0,1.0,5,5,0,0.2727272727272727,0.2685469037400368,0.6662360313259156,0.9199925634577555,transkriptor
gp_8_followup,gp,fr-CA,French,followup,0.9166666666666666,12,11,3,11,3,2,1.0,0.6,0.7499999999999999,10,6,0,0.5244215938303342,0.5300215982721382,0.32939795815563827,0.7842111787541048,transkriptor
gp_4_consultation,gp,fr-CA,French,consultation,0.6666666666666666,12,8,1,0,1,0,1.0,1.0,1.0,2,2,0,0.28125,0.27379873073436084,0.6611267391682063,0.898802524895263,transkriptor
gp_1_consultation,gp,fr-CA,French,consultation,0.8333333333333334,12,10,3,0,1,0,0.6666666666666666,0.5,0.5714285714285715,4,2,0,0.22171945701357465,0.22084942084942086,0.7342787900929854,0.9359005506554666,transkriptor
