file,specialty,language_code,language,visit_type,speaker_accuracy,precision,recall,f1_score,medical_terms_count,wer,cer,bleu,cosine_similarity,model
cardiology_3_followup,cardiology,fr-CA,French,followup,0.25,1.0,0.8,0.888888888888889,10,0.47474747474747475,0.46038114343029085,0.4283833736586354,0.6925910691964038,whisper-v3-large
cardiology_2_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.7777777777777778,0.8750000000000001,9,0.4639175257731959,0.4682795698924731,0.45040749599815505,0.8416070424169501,whisper-v3-large
cardiology_6_followup,cardiology,fr-CA,French,followup,0.8333333333333334,1.0,0.4166666666666667,0.5882352941176471,12,0.47112462006079026,0.49976426214049974,0.4163735446170191,0.8140348276019193,whisper-v3-large
cardiology_7_consultation,cardiology,fr-CA,French,consultation,0.8333333333333334,1.0,0.5454545454545454,0.7058823529411764,11,0.4735099337748344,0.5075499269361909,0.47537277434714165,0.8388549873524882,whisper-v3-large
cardiology_2_consultation,cardiology,fr-CA,French,consultation,0.3125,1.0,0.6363636363636364,0.7777777777777778,11,0.4075,0.42514011208967173,0.5020526313760437,0.8846297866621977,whisper-v3-large
cardiology_6_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.6470588235294118,0.7857142857142858,17,0.3862559241706161,0.4103310294652601,0.5315122411769816,0.8850789813192843,whisper-v3-large
cardiology_1_followup,cardiology,fr-CA,French,followup,0.09090909090909091,1.0,1.0,1.0,5,0.19387755102040816,0.1920704845814978,0.7731610022253345,0.9322671266210202,whisper-v3-large
cardiology_5_followup,cardiology,fr-CA,French,followup,0.7857142857142857,1.0,0.46153846153846156,0.631578947368421,13,0.44011976047904194,0.474145891043398,0.4616028323756944,0.8110650638423146,whisper-v3-large
cardiology_3_consultation,cardiology,fr-CA,French,consultation,0.21428571428571427,0.9,0.5625,0.6923076923076923,16,0.36829268292682926,0.38620172478440196,0.5631730240877546,0.8970344337536403,whisper-v3-large
cardiology_5_consultation,cardiology,fr-CA,French,consultation,0.8333333333333334,1.0,0.7272727272727273,0.8421052631578948,11,0.34725274725274724,0.37341772151898733,0.5738097693891231,0.8972522807031907,whisper-v3-large
cardiology_4_consultation,cardiology,fr-CA,French,consultation,1.0,1.0,0.8333333333333334,0.9090909090909091,12,0.22110552763819097,0.2272340425531915,0.7379860427820091,0.907741462606614,whisper-v3-large
cardiology_8_followup,cardiology,fr-CA,French,followup,1.0,1.0,0.4444444444444444,0.6153846153846153,9,0.495114006514658,0.5173292558613659,0.37662577240682366,0.8112375173749733,whisper-v3-large
cardiology_1_consultation,cardiology,fr-CA,French,consultation,0.7222222222222222,1.0,0.8,0.888888888888889,10,0.24829931972789115,0.19336706014614952,0.7848014703315883,0.9309411791459198,whisper-v3-large
gp_8_consultation,gp,en-CA,English,consultation,0.3333333333333333,1.0,1.0,1.0,4,0.17105263157894737,0.14742014742014742,0.8048577633814253,0.9588377375629059,whisper-v3-large
gp_9_followup,gp,en-CA,English,followup,0.5333333333333333,1.0,1.0,1.0,3,0.15309446254071662,0.14629512349588347,0.8191786082827311,0.9585441059319911,whisper-v3-large
gp_9_consultation,gp,en-CA,English,consultation,0.8333333333333334,1.0,1.0,1.0,7,0.18796992481203006,0.15416666666666667,0.7994752824111357,0.9330832408896894,whisper-v3-large
gp_10_followup,gp,en-CA,English,followup,0.3333333333333333,1.0,1.0,1.0,3,0.19753086419753085,0.21081081081081082,0.7652293965051951,0.9400480476940564,whisper-v3-large
gp_4_followup,gp,en-CA,English,followup,0.9444444444444444,1.0,1.0,1.0,4,0.1910828025477707,0.19335180055401663,0.827248045626026,0.9455191525957746,whisper-v3-large
gp_3_followup,gp,en-CA,English,followup,0.8333333333333334,1.0,0.75,0.8571428571428571,4,0.14590747330960854,0.1427627230667548,0.8739563561013294,0.9619133603477125,whisper-v3-large
gp_7_followup,gp,en-CA,English,followup,0.7142857142857143,1.0,1.0,1.0,3,0.12927756653992395,0.12043010752688173,0.8514689135943064,0.9731238811162913,whisper-v3-large
gp_7_consultation,gp,en-CA,English,consultation,0.6666666666666666,1.0,1.0,1.0,2,0.20962199312714777,0.18729747245625405,0.8213793456344156,0.9366486905088615,whisper-v3-large
gp_6_followup,gp,en-CA,English,followup,0.9166666666666666,1.0,1.0,1.0,3,0.3073394495412844,0.3163934426229508,0.6889177059800474,0.9070972458005278,whisper-v3-large
gp_2_consultation,gp,en-CA,English,consultation,1.0,1.0,1.0,1.0,4,0.2735294117647059,0.2767393561786085,0.7702758785409255,0.9442041855354821,whisper-v3-large
gp_2_followup,gp,en-CA,English,followup,0.6470588235294118,1.0,0.6666666666666666,0.8,3,0.2271186440677966,0.21442246330567966,0.7702907893885488,0.937694692245342,whisper-v3-large
gp_5_followup,gp,en-CA,English,followup,0.8571428571428571,1.0,0.6666666666666666,0.8,3,0.16666666666666666,0.13367052023121387,0.8687020090420448,0.9618639714509211,whisper-v3-large
gp_6_consultation,gp,en-CA,English,consultation,0.7333333333333333,1.0,1.0,1.0,2,0.19491525423728814,0.14877300613496933,0.8231398031357694,0.9594921888000657,whisper-v3-large
gp_1_followup,gp,en-CA,English,followup,0.8181818181818182,0.0,0.0,0.0,2,0.28699551569506726,0.2950391644908616,0.6571620628885195,0.8706450854200831,whisper-v3-large
gp_3_consultation,gp,en-CA,English,consultation,0.7058823529411765,1.0,1.0,1.0,3,0.18233618233618235,0.16952908587257617,0.7964183813112922,0.9561702298229615,whisper-v3-large
gp_5_consultation,gp,en-CA,English,consultation,0.6875,1.0,1.0,1.0,6,0.21235521235521235,0.1812320916905444,0.8114631498479148,0.9294808594070233,whisper-v3-large
gp_10_consultation,gp,en-CA,English,consultation,0.8666666666666667,1.0,0.6666666666666666,0.8,3,0.20080321285140562,0.18399401645474944,0.7556756240909421,0.9185177449798251,whisper-v3-large
gp_8_followup,gp,en-CA,English,followup,0.4666666666666667,1.0,0.75,0.8571428571428571,4,0.2202797202797203,0.2198581560283688,0.7879661436554829,0.9541415731133888,whisper-v3-large
gp_4_consultation,gp,en-CA,English,consultation,0.9583333333333334,1.0,0.8333333333333334,0.9090909090909091,6,0.2564102564102564,0.25546765937645416,0.7296594418129249,0.9406339011206882,whisper-v3-large
gp_1_consultation,gp,en-CA,English,consultation,0.5882352941176471,1.0,1.0,1.0,4,0.19382022471910113,0.19011815252416756,0.7605883704515579,0.9428020571939602,whisper-v3-large
gp_8_consultation,gp,fr-CA,French,consultation,0.875,1.0,0.8181818181818182,0.9,11,0.3724696356275304,0.38308283816847255,0.5437938005378923,0.9035639526901151,whisper-v3-large
gp_9_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,5,0.41721854304635764,0.4022099447513812,0.4835321035183171,0.8154477205393785,whisper-v3-large
gp_9_consultation,gp,fr-CA,French,consultation,0.9166666666666666,1.0,0.6666666666666666,0.8,3,0.26229508196721313,0.2622478386167147,0.7762814843351524,0.9078079195684807,whisper-v3-large
gp_10_followup,gp,fr-CA,French,followup,1.0,1.0,1.0,1.0,2,0.22981366459627328,0.21610169491525424,0.7013209086249446,0.8905654378978579,whisper-v3-large
gp_4_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.38926174496644295,0.35876993166287013,0.5142493742394051,0.7992996677097467,whisper-v3-large
gp_3_followup,gp,fr-CA,French,followup,1.0,1.0,0.6,0.7499999999999999,5,0.3880597014925373,0.4086242299794661,0.5215723761605913,0.8380385508258776,whisper-v3-large
gp_7_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.23015873015873015,0.23776223776223776,0.7236542160091035,0.9116408075996544,whisper-v3-large
gp_7_consultation,gp,fr-CA,French,consultation,1.0,1.0,0.8571428571428571,0.923076923076923,7,0.20614035087719298,0.21892103205629398,0.7593301708693554,0.9476400472384173,whisper-v3-large
gp_6_followup,gp,fr-CA,French,followup,1.0,1.0,0.4,0.5714285714285715,5,0.4261168384879725,0.46892039258451473,0.4736236984842529,0.8017660983370416,whisper-v3-large
gp_2_consultation,gp,fr-CA,French,consultation,0.1875,1.0,0.5384615384615384,0.7000000000000001,13,0.369727047146402,0.4045584045584046,0.5498883018866539,0.9098555371879391,whisper-v3-large
gp_2_followup,gp,fr-CA,French,followup,0.7142857142857143,1.0,0.25,0.4,8,0.3994252873563218,0.447282861124013,0.5095375173726959,0.8442349679382921,whisper-v3-large
gp_5_followup,gp,fr-CA,French,followup,0.5,1.0,1.0,1.0,3,0.2565789473684211,0.21892816419612315,0.689969378023115,0.8344906213146807,whisper-v3-large
gp_6_consultation,gp,fr-CA,French,consultation,0.9333333333333333,1.0,0.5,0.6666666666666666,4,0.42857142857142855,0.4472318339100346,0.5090712982485266,0.8658683142223765,whisper-v3-large
gp_1_followup,gp,fr-CA,French,followup,1.0,1.0,0.3333333333333333,0.5,3,0.2392638036809816,0.245850622406639,0.7153424006046709,0.9228342781107228,whisper-v3-large
gp_3_consultation,gp,fr-CA,French,consultation,0.6428571428571429,1.0,0.42857142857142855,0.6,7,0.33002481389578164,0.34616994558392633,0.6019194338604124,0.9138262627961091,whisper-v3-large
gp_5_consultation,gp,fr-CA,French,consultation,0.9230769230769231,1.0,1.0,1.0,6,0.2803347280334728,0.25920360631104433,0.6912972721018246,0.9159658077972889,whisper-v3-large
gp_10_consultation,gp,fr-CA,French,consultation,0.7857142857142857,1.0,1.0,1.0,4,0.22727272727272727,0.23114653586756592,0.7229430905916071,0.9337725361041718,whisper-v3-large
gp_8_followup,gp,fr-CA,French,followup,1.0,1.0,0.625,0.7692307692307693,8,0.5269922879177378,0.5317494600431966,0.32473581264458745,0.7793024672568293,whisper-v3-large
gp_4_consultation,gp,fr-CA,French,consultation,1.0,1.0,1.0,1.0,2,0.2708333333333333,0.2728921124206709,0.7535239063612102,0.8984833123638888,whisper-v3-large
gp_1_consultation,gp,fr-CA,French,consultation,0.9166666666666666,0.0,0.0,0.0,3,0.36199095022624433,0.355984555984556,0.5388114542140103,0.8852812793755968,whisper-v3-large
